Cenário,Parâmetros,Status Esperado,Status Real,Tempo Médio (s),Tempo Mínimo (s),Tempo Máximo (s),Sucesso
Sem parâmetros,{},200,200,1.135,1.049,1.282,OK
Limit 10,{'limit': 10},200,200,1.211,1.164,1.245,OK
Limit 100000,{'limit': 100000},200,422,0.293,0.293,0.293,FALHA
Intervalo 3 dias,"{'data_inicio': '2025-10-25', 'data_fim': '2025-10-28', 'limit': 5000}",200,422,0.283,0.283,0.283,FALHA
Apenas data_inicio,{'data_inicio': '2025-10-18'},200,200,0.301,0.296,0.312,OK
Apenas data_fim,{'data_fim': '2025-10-28'},200,200,1.226,1.115,1.357,OK
Agregação hora,{'agregacao': 'hora'},200,200,1.169,1.073,1.236,OK
Agregação semana,{'agregacao': 'semana'},200,200,0.9,0.844,0.993,OK
Agregação mês,{'agregacao': 'mes'},200,200,1.004,0.971,1.061,OK
Lista curta de medidores,"{'medidor_ids': [123, 120, 67, 64]}",200,200,0.793,0.76,0.835,OK
Lista longa de medidores,"{'medidor_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]}",200,200,0.458,0.45,0.485,OK
Medidores inválidos,"{'medidor_ids': ['a', 'b', 'c']}",422,422,0.294,0.283,0.31,OK
Agregação inválida,{'agregacao': 'ano'},422,422,0.291,0.284,0.298,OK
Datas invertidas,"{'data_inicio': '2025-10-28', 'data_fim': '2025-10-18'}",422,200,0.302,0.302,0.302,FALHA
